,smile,pld,name,npz
0,BrC1=[C][CH]C23C4([CH]1)N1C4C2N3[C]1C.Br[C]1[C]=CC23C4([CH]1)N1C4C2N3[C]1C.Br[C]1[C][C](Br)[C]2C3([C]1)[C]1N3[C]N2[C]1.CC1=NC=C[N]1.CC1=N[CH]C=N1.C[C]1N2C3C42C2(N1C32)C=[C][C]=C4.[Zn],4.54754,TOHDAX_clean,voxels_50/TOHDAX_clean-(id_13012).npz
3,Brc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Sm].[Zn],3.46,XOKHIP_clean,voxels_50/XOKHIP_clean-(id_13060).npz
4,Brc1cc2N=C[N]c2cc1Br.Brc1ccc2c(c1)N=C[N]2.Brc1ccc2c(c1)[N]C=N2.O=N(=O)C1=NC=C[N]1.O=N(=O)C1=N[CH]C=N1.[Zn].c1ccc2c(c1)N=C[N]2,4.31249,YOZCAS_manual,voxels_50/YOZCAS_manual-(id_2013).npz
5,Brc1cc2N=C[N]c2cc1Br.O=N(=O)C1=NC=C[N]1.O=N(=O)C1=N[CH]C=N1.[C]1=CC2=C(C=[C]1)[N]C=N2.[C]1=[C]C=C2C(=C1)N=C[N]2.[Co],4.41411,RIRDIH_clean,voxels_50/RIRDIH_clean-(id_2663).npz
6,C#CCOc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Cd].n1ccc(cc1)C=Cc1ccncc1,4.64508,GUQWOG_clean,voxels_50/GUQWOG_clean-(id_9038).npz
7,C#C[C]Oc1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn].n1ccc(cc1)c1ccncc1,4.02235,ROTTOL_clean,voxels_50/ROTTOL_clean-(id_4079).npz
22,C(=CCn1cnnc1)Cn1cnnc1.[Cu],5.56185,SETDUS_clean,voxels_50/SETDUS_clean-(id_5109).npz
73,C(CC12[CH][CH]N3C4C([C]1)C2C4[N]3)CCC12[CH][CH]N3C4C([C]1)C2C4[N]3.[Cd].[O-]C(=O)Cc1ccc(cc1)CC(=O)[O-],3.02376,MUHQAI_clean,voxels_50/MUHQAI_clean-(id_6651).npz
74,C(CC1=CC=N[C]=C1)CC1=[C]C=NC=C1.C(CC1=C[C]=NC=C1)CC1=CC=NC=[C]1.C(Cc1ccncc1)Cc1ccncc1.[Cu].[O-]C(=O)c1cc(cc(c1)S([O])([O])[O])C(=O)[O-],5.902,VOFFED_clean,voxels_50/VOFFED_clean-(id_10027).npz
75,C(CCN1[CH]N=C[N]1)CCCn1cncn1.C(CCN1[N]C=N[CH]1)CCCN1[N]C=N[CH]1.[Cu],3.966625,RAXQEO_clean,voxels_50/RAXQEO_clean-(id_5822).npz
79,C(CCN1[CH]N=C[N]1)CCCn1cncn1.C(CCn1ncnc1)CCCn1ncnc1.[Cu],4.19,ELELEN_clean,voxels_50/ELELEN_clean-(id_6968).npz
80,C(CCc1ccncc1)CCc1ccncc1.[Co],2.48,DITYAH_clean,voxels_50/DITYAH_clean-(id_2474).npz
81,C(CCn1cncc1)CCCn1cncc1.[O]N(N(c1cc(cc(c1)C(=O)[O-])C(=O)[O-])[O])c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn],3.97207,ESARUN_clean,voxels_50/ESARUN_clean-(id_6601).npz
82,C(CCn1cncc1)CCn1cncc1.[Cd].[O-]C(=O)c1ccc(cc1)C(=O)[O-],3.13437,EBISEQ_clean,voxels_50/EBISEQ_clean-(id_13356).npz
83,C(CCn1cncc1)CCn1cncc1.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn],3.28681,EBISAM_clean,voxels_50/EBISAM_clean-(id_3248).npz
84,C(CCn1ncnc1)CCCn1ncnc1.[Cu],3.50364,TAPLED_clean,voxels_50/TAPLED_clean-(id_5249).npz
85,C(CN1C=NC=[C]1)CCN1C=NC=[C]1.C(Cn1cncc1)CCn1cncc1.[Cu].[O-]C(=O)c1ccc(cc1)OCOc1ccc(cc1)C(=O)[O-],4.14128,EZESAF_clean,voxels_50/EZESAF_clean-(id_1482).npz
86,C(CN1[CH][N]C=N1)CCN1[CH]N=C[N]1.C(CN1[N]C=N[CH]1)CCN1[N]C=N[CH]1.C(CN1[N]C=N[CH]1)CCn1ncnc1.[Co].[O].[O]P(=O)([O])[O].[W],4.51,KICXEB_clean,voxels_50/KICXEB_clean-(id_14299).npz
87,C(CN1[N]C=N[CH]1)CCN1[N]C=N[CH]1.C(CN1[N]C=N[CH]1)CCn1ncnc1.C(Cn1ncnc1)CCn1ncnc1.[Cu],5.56859,cg2007167_si_002_clean,voxels_50/cg2007167_si_002_clean-(id_7842).npz
88,C(CN1[N]C=N[CH]1)CCN1[N]C=N[CH]1.C(CN1[N]C=N[CH]1)CCn1ncnc1.[Co].[O].[O][As]([O])[O].[O].[W],4.57,KICXAX_clean,voxels_50/KICXAX_clean-(id_2178).npz
89,C(CN1[N]C=N[CH]1)CCN1[N]C=N[CH]1.C(CN1[N]C=N[CH]1)CCn1ncnc1.[Cu],4.22327,MOFKUO_clean,voxels_50/MOFKUO_clean-(id_2785).npz
92,C(CN1[N]C=N[CH]1)CCN1[N]C=N[CH]1.C(CN1[N]C=N[CH]1)CCn1ncnc1.[Ni],4.14256,EXALAR_clean,voxels_50/EXALAR_clean-(id_14797).npz
93,C(CN1[N]C=N[CH]1)CCN1[N]C=N[CH]1.C(Cn1cnnc1)CCn1cnnc1.[O-]C(=O)c1cc(N=Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[Zn],2.51,ECUTON_clean,voxels_50/ECUTON_clean-(id_11372).npz
94,C(CN1[N]C=N[CH]1)CCN1[N]C=N[CH]1.[Cd].[O-]C(=O)c1ccc(c(c1)C(=O)[O-])Br,3.77657,j.jssc.2016.09.008_mmc8_clean,voxels_50/j.jssc.2016.09.008_mmc8_clean-(id_13997).npz
95,C(CN1[N]C=N[CH]1)CCN1[N]C=N[CH]1.[Cu],3.08891,EBINUA01_clean,voxels_50/EBINUA01_clean-(id_12654).npz
96,C(CN1[N]C=N[CH]1)CN1[N]C=N[CH]1.C(Cn1ncnc1)Cn1ncnc1.C1=N[CH]N([N]1)CCCn1cncn1.[Ag],3.34737,VAYWID_clean,voxels_50/VAYWID_clean-(id_9063).npz
97,C(CN1[N]C=N[CH]1)CN1[N]C=N[CH]1.C1=N[CH]N([N]1)CCCn1cncn1.N1=C[N]N([CH]1)CCCN1[CH][N]C=N1.[Cu].[N]1C=NN([CH]1)CCCn1cncn1,8.95436,GOSBOH_clean,voxels_50/GOSBOH_clean-(id_12515).npz
98,C(CN1[N]C=N[CH]1)CN1[N]C=N[CH]1.C1=N[CH]N([N]1)CCCn1cncn1.[Cu].[O-]C(=O)c1cc(cc(c1C(=O)O)C(=O)[O-])N(=O)=O,3.37969,NIJSAC_clean,voxels_50/NIJSAC_clean-(id_1256).npz
99,C(CP(c1ccccc1)c1ccccc1)CCP(c1ccccc1)c1ccccc1.Cc1cc(C)c(c(c1)C)[S].[Ag],4.11356,YOMZIL_clean,voxels_50/YOMZIL_clean-(id_9754).npz
100,C(Cc1ccncc1)Cc1ccncc1.[Cd].[O-]C(=O)CC12CC3CC(C1)CC(C2)(C3)CC(=O)[O-],3.26,EPUXET_clean,voxels_50/EPUXET_clean-(id_4644).npz
101,C(Cc1ccncc1)Cc1ccncc1.[Cd].[O-]C(=O)CCCC(=O)[O-],2.93597,RUXKUS_clean,voxels_50/RUXKUS_clean-(id_10823).npz
102,C(Cc1ccncc1)Cc1ccncc1.[Cd].[O-]C(=O)Cc1cccc(c1)CC(=O)[O-],3.44,GUFREF_clean,voxels_50/GUFREF_clean-(id_3506).npz
103,C(Cc1ccncc1)Cc1ccncc1.[Cd].[O-]C(=O)c1c2ccccc2c(c2c1cccc2)C(=O)[O-].[O]S(=O)(=O)[O],4.11,ETESIG_clean,voxels_50/ETESIG_clean-(id_3710).npz
104,C(Cc1ccncc1)Cc1ccncc1.[Cd].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],2.88,NABNUA_clean,voxels_50/NABNUA_clean-(id_11302).npz
105,C(Cc1ccncc1)Cc1ccncc1.[Cd].[O-]C(=O)c1ccc(cc1)C(=O)[O-],3.84932,KAVTEI_clean,voxels_50/KAVTEI_clean-(id_642).npz
106,C(Cc1ccncc1)Cc1ccncc1.[Cd].[O-]C(=O)c1ccc(s1)C(=O)[O-],3.42264,FURFIJ_clean,voxels_50/FURFIJ_clean-(id_3611).npz
108,C(Cc1ccncc1)Cc1ccncc1.[Cd].[O-]C(=O)c1ccc2c(c1)ccc(c2)C(=O)[O-],4.92678,MUZVUA_clean,voxels_50/MUZVUA_clean-(id_8219).npz
109,C(Cc1ccncc1)Cc1ccncc1.[Co].[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],3.65,INAMUG_clean,voxels_50/INAMUG_clean-(id_11242).npz
110,C(Cc1ccncc1)Cc1ccncc1.[Co].[O-]C(=O)c1ccc(s1)C(=O)[O-],3.99,EYULOA_clean,voxels_50/EYULOA_clean-(id_377).npz
111,C(Cc1ccncc1)Cc1ccncc1.[Co].[O-]C(=O)c1nsnc1C(=O)[O-],3.03806,TULNIZ_clean,voxels_50/TULNIZ_clean-(id_4176).npz
112,C(Cc1ccncc1)Cc1ccncc1.[Cu],2.75421,MIJFIU_clean,voxels_50/MIJFIU_clean-(id_2530).npz
113,C(Cc1ccncc1)Cc1ccncc1.[Cu].[Cu][Cu].[O].[V],4.12,TAGSEB_clean,voxels_50/TAGSEB_clean-(id_4190).npz
114,C(Cc1ccncc1)Cc1ccncc1.[Cu].[O-]C(=O)C1=NN=N[N]1,3.317535,acs.jchemed.6b00258_ed6b00258_si_005_clean,voxels_50/acs.jchemed.6b00258_ed6b00258_si_005_clean-(id_10868).npz
116,C(Cc1ccncc1)Cc1ccncc1.[Cu].[O-]C(=O)C1=NN=N[N]1.[O-]C(=O)C1=N[N]N=N1,3.46844,AQUDAT_clean,voxels_50/AQUDAT_clean-(id_15112).npz
118,C(Cc1ccncc1)Cc1ccncc1.[Cu].[O-]C(=O)C1=N[N]N=N1,3.05,ADABIS_clean,voxels_50/ADABIS_clean-(id_5703).npz
119,C(Cc1ccncc1)Cc1ccncc1.[Cu].[O-]C(=O)[O-],3.0061,KOPXOE_clean,voxels_50/KOPXOE_clean-(id_4873).npz
120,C(Cc1ccncc1)Cc1ccncc1.[Cu].[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],3.21,MAJHOW_clean,voxels_50/MAJHOW_clean-(id_11073).npz
121,C(Cc1ccncc1)Cc1ccncc1.[Mn].[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],3.69,MAJHUC_clean,voxels_50/MAJHUC_clean-(id_2282).npz
122,C(Cc1ccncc1)Cc1ccncc1.[Ni].[O-]C(=O)CN(c1cc(cc(c1)C(=O)[O-])C(=O)[O-])CC(=O)[O-],2.95,OVIZUP_clean,voxels_50/OVIZUP_clean-(id_6922).npz
123,C(Cc1ccncc1)Cc1ccncc1.[Ni].[O-]C(=O)c1cc(ccc1C(=O)[O-])N(=O)=O,2.53931,HOJHUL_clean,voxels_50/HOJHUL_clean-(id_13691).npz
124,C(Cc1ccncc1)Cc1ccncc1.[Ni].[O-]C(=O)c1cc2ccccc2c(c1O)Cc1c(O)c(cc2c1cccc2)C(=O)[O-],4.04,YARBUQ_clean,voxels_50/YARBUQ_clean-(id_297).npz
125,C(Cc1ccncc1)Cc1ccncc1.[Ni].[O].[O]P(=O)([O])[O].[W],4.31,ENAFAB_clean,voxels_50/ENAFAB_clean-(id_10065).npz
126,C(Cc1ccncc1)Cc1ccncc1.[Ni].[O].[V],2.57162,HUNFIH_clean,voxels_50/HUNFIH_clean-(id_7065).npz
127,C(Cc1ccncc1)Cc1ccncc1.[O-]C(=O)CC(=O)[O-].[Zn],2.8,KEXKEF_clean,voxels_50/KEXKEF_clean-(id_14977).npz
128,C(Cc1ccncc1)Cc1ccncc1.[O-]C(=O)c1ccc(o1)C(=O)[O-].[Zn],4.07,PENNUT_clean,voxels_50/PENNUT_clean-(id_3450).npz
129,C(Cc1ccncc1)Cc1ccncc1.[O-]C(=O)c1cnccn1.[Zn],3.28141,FEFVES_clean,voxels_50/FEFVES_clean-(id_3936).npz
130,C(Cc1ccncc1)Cc1ccncc1.[O].[V].[Zn],2.61591,HUNFON_clean,voxels_50/HUNFON_clean-(id_13344).npz
131,C(Cc1ccncc1)Cc1ccncc1.[O]P(=O)[O].[Zn],4.1925,OGAGIN_clean,voxels_50/OGAGIN_clean-(id_4102).npz
135,C(Cc1ccncc1)Cc1ccncc1.[O]S(=O)(=O)[O].[Zn],2.6,GELJAJ_clean,voxels_50/GELJAJ_clean-(id_6704).npz
136,C(Cn1cncc1)CCn1cncc1.[Cd],2.7728,MIXXOI_clean,voxels_50/MIXXOI_clean-(id_7054).npz
138,C(Cn1cncc1)CCn1cncc1.[Cd].[O-]C(=O)CCCCCCC(=O)[O-],3.14703,IYEQUA_clean,voxels_50/IYEQUA_clean-(id_2953).npz
139,C(Cn1cncc1)CCn1cncc1.[Cd].[O-]C(=O)c1cc(cc(c1)N(=O)=O)C(=O)[O-],3.66387,BUBTUP_clean,voxels_50/BUBTUP_clean-(id_6423).npz
140,C(Cn1cncc1)CCn1cncc1.[Cd].[O-]C(=O)c1ncccc1C(=O)[O-],3.058876667,PEXBIF_clean,voxels_50/PEXBIF_clean-(id_10922).npz
143,C(Cn1cncc1)CCn1cncc1.[Co],3.48639,XOPJAO_clean,voxels_50/XOPJAO_clean-(id_9442).npz
144,C(Cn1cncc1)CCn1cncc1.[Co].[O-]C(=O)c1cc(OCCCCOc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],3.51835,EMOHIZ_clean,voxels_50/EMOHIZ_clean-(id_3100).npz
145,C(Cn1cncc1)CCn1cncc1.[Co].[O-]C(=O)c1cc(OCCOc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-],2.54,ISIKOL_clean,voxels_50/ISIKOL_clean-(id_6512).npz
146,C(Cn1cncc1)CCn1cncc1.[Cu],4.00763,CUQXUI_clean,voxels_50/CUQXUI_clean-(id_9221).npz
147,C(Cn1cncc1)CCn1cncc1.[Cu].[O-]C(=O)CCC(=O)[O-],3.4,WASNIO_clean,voxels_50/WASNIO_clean-(id_4910).npz
148,C(Cn1cncc1)CCn1cncc1.[Cu].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-],3.27,LEDPIU_clean,voxels_50/LEDPIU_clean-(id_2382).npz
149,C(Cn1cncc1)CCn1cncc1.[Cu].[O-]C(=O)c1cccc(c1)C(=O)[O-],5.18,OLUCAZ_clean,voxels_50/OLUCAZ_clean-(id_5528).npz
150,C(Cn1cncc1)CCn1cncc1.[Fe],2.4934,SIVSOH_clean,voxels_50/SIVSOH_clean-(id_10571).npz
151,C(Cn1cncc1)CCn1cncc1.[Ni].[O].[V],2.51,XOJCUV_clean,voxels_50/XOJCUV_clean-(id_1038).npz
153,C(Cn1cncc1)CCn1cncc1.[O-]C(=O)C1=CC=C([C]=C1)c1ccc(cc1C12[C][C]2[C]2[C]1[C]2)C(=O)[O-].[O-]C(=O)C1=C[C]=C(C=C1)c1ccc(cc1C12[C][C]2[C]2[C]1[C]2)C(=O)[O-].[O-]C(=O)c1ccc2c(c1)C(C)(C)C1=C[C](C34C([C]21)([C][C]3)[C][C]4)C(=O)[O-].[Zn],3.57141,XOMNEU_clean,voxels_50/XOMNEU_clean-(id_2105).npz
154,C(Cn1cncc1)CCn1cncc1.[O-]C(=O)C=CC(=O)[O-].[Zn],3.07733,SOCNAB_clean,voxels_50/SOCNAB_clean-(id_7506).npz
155,C(Cn1cncc1)CCn1cncc1.[O-]C(=O)c1cc(N=Nc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[Zn],2.8,RAXDAX_clean,voxels_50/RAXDAX_clean-(id_14881).npz
156,C(Cn1cncc1)CCn1cncc1.[O-]C(=O)c1cc(OCCOc2cc(cc(c2)C(=O)[O-])C(=O)[O-])cc(c1)C(=O)[O-].[Zn],2.47,ISIMAZ_clean,voxels_50/ISIMAZ_clean-(id_3187).npz
157,C(Cn1cncc1)CCn1cncc1.[O-]C(=O)c1cc(c(cc1c1ccc(cc1C(=O)[O-])C(=O)[O-])C(=O)[O-])c1ccc(cc1C(=O)[O-])C(=O)[O-].[Zn],5.40276,j.ica.2016.05.002_2_clean,voxels_50/j.ica.2016.05.002_2_clean-(id_9288).npz
159,C(Cn1cncc1)CCn1cncc1.[O-]C(=O)c1cc(ccc1C(=O)[O-])C(C(F)(F)F)(C(F)(F)F)c1ccc(c(c1)C(=O)[O-])C(=O)[O-].[Zn],3.24,LABGAY_clean,voxels_50/LABGAY_clean-(id_2811).npz
160,C(Cn1cncc1)CCn1cncc1.[O-]C(=O)c1ccc(s1)C(=O)[O-].[Zn],3.56519,FURFOP_clean,voxels_50/FURFOP_clean-(id_12932).npz
161,C(Cn1cncc1)CCn1cncc1.[O-]C(=O)c1ncccc1C(=O)[O-].[Zn],2.41599,HOFMAS_clean,voxels_50/HOFMAS_clean-(id_3246).npz
162,C(Cn1cncc1)CCn1cncc1.[Zn].c1ncn(c1)[C][C]1[C][C]([C]1)[C]n1cncc1,2.92374,YIWZOV_clean,voxels_50/YIWZOV_clean-(id_5325).npz
163,C(Cn1cncc1)Cn1cncc1.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn],3.31833,GABGOI_clean,voxels_50/GABGOI_clean-(id_2770).npz
164,C(Cn1ncnc1)CCn1ncnc1.[Cd].[O-]C(=O)c1ccc(cc1)C(=O)[O-],3.58,POLNAG_clean,voxels_50/POLNAG_clean-(id_5534).npz
165,C(Cn1ncnc1)CCn1ncnc1.[Cu],2.85181,EBINUA_clean,voxels_50/EBINUA_clean-(id_2495).npz
167,C(Cn1ncnc1)CCn1ncnc1.[Cu].[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-],2.76,EBIPIQ_clean,voxels_50/EBIPIQ_clean-(id_6773).npz
168,C(Cn1ncnc1)CCn1ncnc1.[O-]C(=O)c1cc(C(=O)[O-])c(cc1C(=O)[O-])C(=O)[O-].[Zn],2.77,VUNCAJ_clean,voxels_50/VUNCAJ_clean-(id_1267).npz
169,C(Cn1ncnc1)Cn1ncnc1.C1=N[CH]N([N]1)CCCn1cncn1.[Ag],3.31169,VAYWEZ_clean,voxels_50/VAYWEZ_clean-(id_14391).npz
170,C(Cn1nncn1)Cn1nncn1.C1=N[N]N([N]1)CCCn1nncn1.[Fe],3.50149,WILNEL01_clean,voxels_50/WILNEL01_clean-(id_12266).npz
171,C(Cn1nncn1)Cn1nncn1.C1=N[N]N([N]1)CCCn1nncn1.[Zn],3.4178,ACAJIY_clean,voxels_50/ACAJIY_clean-(id_12471).npz
172,C(Oc1ccc(cc1)c1cncnc1)COc1ccc(cc1)c1cncnc1.[Cu].[O]N([O])[O],4.06699,QIWDOR_clean,voxels_50/QIWDOR_clean-(id_6703).npz
173,C(Oc1cccc(c1)n1cnnc1)COc1cccc(c1)n1cnnc1.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn],2.76215,TISNEQ_clean,voxels_50/TISNEQ_clean-(id_3153).npz
174,C(Sc1ccncc1)Sc1ccncc1.[Cu].[O-]C=O,4.86227,PUKVAU_clean,voxels_50/PUKVAU_clean-(id_7664).npz
175,C([N]c1ccncc1)C[N]c1ccncc1.[Ni].[O-]C(=O)c1cc(ccc1C(=O)[O-])C(C(F)(F)F)(C(F)(F)F)c1ccc(c(c1)C(=O)[O-])C(=O)[O-],4.37106,WILGUV_clean,voxels_50/WILGUV_clean-(id_1268).npz
176,C(n1cncn1)N1[CH]N=C[N]1.[Ag].n1cnn(c1)Cn1ncnc1,3.12517,LUNWEW_clean,voxels_50/LUNWEW_clean-(id_3434).npz
177,C1=CC(=[C]C(=C1)C#Cc1ccncc1)C#Cc1ccncc1.[Co],3.06211,LUJJOQ_clean,voxels_50/LUJJOQ_clean-(id_12013).npz
178,C1=CC2([C]3[C]4N1[C]4[C]23)C12C=CN3[C]4[C]1[C]2[C]34.[O-]C(=O)c1cc(ccc1C(=O)[O-])S(=O)(=O)c1ccc(c(c1)C(=O)[O-])C(=O)[O-].[Zn].n1ccc(cc1)c1ccncc1,3.63886,NUHZAS_clean,voxels_50/NUHZAS_clean-(id_8515).npz
179,C1=CC2=NN=N[C]2C=C1.C1=CC=C2C(=NN=N2)[CH]1.[CH]1C=CC2=NN=NC2=C1.[Cd].[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].c1ccc2c(c1)N=N[N]2,4.59805,HULRIR_clean,voxels_50/HULRIR_clean-(id_9933).npz
180,C1=CC2=NN=N[C]2C=C1.C1=CC=C2C(=NN=N2)[CH]1.[CH]1C=CC2=NN=NC2=C1.[Cd].[O-]C(=O)c1ccc(cc1)C(=O)[O-].c1ccc2c(c1)N=N[N]2,4.36,RAVJOP_clean,voxels_50/RAVJOP_clean-(id_12927).npz
181,C1=CC2=NN=N[C]2C=C1.C1=CC=C2C(=NN=N2)[CH]1.[CH]1C=CC2=NN=NC2=C1.[Co].[O-]C(=O)c1cccc(c1)C(=O)[O-].c1ccc2c(c1)N=N[N]2,3.70978,YOKKIU_clean,voxels_50/YOKKIU_clean-(id_7821).npz
182,C1=CC2=NN=N[C]2C=C1.C1=CC=C2C(=NN=N2)[CH]1.[CH]1C=CC2=NN=NC2=C1.[O-]C(=O)C12SC3(C4C1C2C4[C]3)C([O])([O])[O].[O-]C(=O)c1ccc(s1)C(=O)[O-].[Zn].c1ccc2=N[N]N=c2c1.c1ccc2c(c1)N=N[N]2,4.47796,ic1010083_si_002_clean,voxels_50/ic1010083_si_002_clean-(id_9377).npz
183,C1=CC2=NN=N[C]2C=C1.C1=CC=C2C(=NN=N2)[CH]1.[CH]1C=CC2=NN=NC2=C1.[O-]C(=O)c1ccc(c(c1)N)C(=O)[O-].[Zn].c1ccc2c(c1)N=N[N]2,6.5,KUJNUZ_clean,voxels_50/KUJNUZ_clean-(id_10902).npz
184,C1=CC2=NN=N[C]2C=C1.C1=CC=C2C(=NN=N2)[CH]1.[CH]1C=CC2=NN=NC2=C1.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn].c1ccc2=N[N]N=c2c1.c1ccc2c(c1)N=N[N]2,6.1,KUJNOT_clean,voxels_50/KUJNOT_clean-(id_167).npz
185,C1=CC2=NN=N[C]2C=C1.C1=CC=C2C(=NN=N2)[CH]1.[CH]1C=CC2=NN=NC2=C1.[O-]C(=O)c1ccc(cc1)OCC(COc1ccc(cc1)C(=O)[O-])(COc1ccc(cc1)C(=O)[O-])COc1ccc(cc1)C(=O)[O-].[Zn].c1ccc2c(c1)N=N[N]2,5.24,FAYPAY_clean,voxels_50/FAYPAY_clean-(id_285).npz
186,C1=CC2=NN=N[C]2C=C1.N#C[C](c1ccc(cc1)[C](C#N)C#N)C#N.[CH]1C=CC2=NN=NC2=C1.[Ni].c1ccc2c(c1)N=N[N]2,4.78,LODPUQ_clean,voxels_50/LODPUQ_clean-(id_1527).npz
187,C1=CC2=NN=N[C]2C=C1.[CH]1C=CC2=NN=NC2=C1.[O-]C(=O)c1ccc(cc1)c1ccc(cc1)C(=O)[O-].[Zn].c1ccc2=N[N]N=c2c1.c1ccc2c(c1)N=N[N]2,6.66,KUJPAH_clean,voxels_50/KUJPAH_clean-(id_2011).npz
188,C1=CC2=NN=N[C]2C=C1.[Cd].[O-]C(=O)c1ccc(cc1)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].c1ccc2c(c1)N=N[N]2,3.58022,JUSBAC_clean,voxels_50/JUSBAC_clean-(id_14389).npz
189,C1=CC2=NN=N[C]2C=C1.[O-]C(=O)c1ccc(cc1)C(=O)[O-].[Zn],4.03435,MAZSOX_clean,voxels_50/MAZSOX_clean-(id_2308).npz
190,C1=CC2=N[C]=N[C]2C=C1.C1=CC=C2C(=N[C]=N2)[CH]1.CC1=Nc2c([N]1)cccc2.[Zn].c1ccc2=N[C]N=c2c1.c1ccc2c(c1)N=C[N]2,2.51537,NOQGIL_clean,voxels_50/NOQGIL_clean-(id_1650).npz
191,C1=CC2=N[C]=N[C]2C=C1.CC1=NN=N[N]1.[CH]1C=CC2=N[C]=NC2=C1.[C]1N=NN=N1.[N]1N=N[C]=N1.[Zn],4.10605,OLODEA_clean,voxels_50/OLODEA_clean-(id_5689).npz
192,C1=CC=C2C(=NN=N2)[CH]1.COc1cc(ccc1OCC(COc1ccc(cc1OC)C(=O)[O-])(COc1ccc(cc1OC)C(=O)[O-])COc1ccc(cc1OC)C(=O)[O-])C(=O)[O-].[CH]1C=CC2=NN=NC2=C1.[Zn].c1ccc2c(c1)N=N[N]2,7.34,FAYPOM_clean,voxels_50/FAYPOM_clean-(id_11719).npz
193,C1=CC=C2C(=NN=N2)[CH]1.[O-]C(=O)c1cc(cc(c1)C(=O)[O-])C(=O)[O-].[Zn],4.25441,ZARLOV_clean,voxels_50/ZARLOV_clean-(id_8505).npz
194,C1=CN([CH][N]1)c1cc(cc(c1)n1ccnc1)N1[CH][N]C=C1.C1=CN([CH][N]1)c1cc(cc(c1)n1ccnc1)n1ccnc1.[O-]C(=O)c1cccc(c1)C(=O)[O-].[Zn].c1ncn(c1)c1cc(cc(c1)n1cncc1)n1cncc1,4.2,XICYAL_clean,voxels_50/XICYAL_clean-(id_14905).npz
195,C1=CN([CH][N]1)c1ccc(cc1)Oc1ccc(cc1)n1ccnc1.[Co].[O-]C(=O)c1ccc(cc1)C(=O)[O-],2.8,OKIPOO_clean,voxels_50/OKIPOO_clean-(id_9772).npz
196,C1=CN([CH][N]1)c1ccc(cc1)n1ccnc1.[O]P(=O)([O])[O].[Zn].c1ncn(c1)c1ccc(cc1)n1cncc1,4.84283,EMAGAB_clean,voxels_50/EMAGAB_clean-(id_4403).npz
